abv,ibu,label
6.1,60.0,American Pale Ale (APA)
7.9,45.0,Winter Warmer
4.4,42.0,American Pale Ale (APA)
4.9,17.0,Fruit / Vegetable Beer
4.9,17.0,Fruit / Vegetable Beer
4.9,17.0,Fruit / Vegetable Beer
7.0,70.0,American IPA
7.0,70.0,American IPA
7.0,70.0,American IPA
8.5,52.0,English IPA
9.7,94.0,American Double / Imperial IPA
4.4,42.0,American Pale Ale (APA)
7.9,45.0,Winter Warmer
6.8,65.0,American Black Ale
8.3,35.0,Belgian Dark Ale
7.0,65.0,American IPA
4.9,17.0,Fruit / Vegetable Beer
7.0,82.0,American IPA
3.5,11.0,Berliner Weissbier
4.5,18.0,American Blonde Ale
5.0,28.0,American Pale Wheat Ale
5.0,45.0,American IPA
6.9,65.0,American IPA
9.0,50.0,English IPA
4.6,15.0,Kölsch
5.2,18.0,Belgian Dark Ale
5.9,75.0,American IPA
5.4,30.0,English Pale Ale
5.4,30.0,English Pale Ale
8.4,82.0,American Double / Imperial IPA
5.5,26.0,American Amber / Red Lager
5.5,26.0,American Amber / Red Lager
6.5,52.0,American IPA
4.2,13.0,Fruit / Vegetable Beer
4.5,17.0,American Amber / Red Lager
8.2,68.0,American IPA
5.0,20.0,American Brown Ale
8.0,68.0,American Double / Imperial IPA
7.7,25.0,Milk / Sweet Stout
4.2,42.0,American Pale Ale (APA)
5.0,25.0,German Pilsener
6.6,21.0,Pumpkin Ale
4.0,13.0,Belgian Pale Ale
5.5,17.0,American Pilsner
7.6,68.0,American Double / Imperial IPA
5.1,38.0,Saison / Farmhouse Ale
6.0,65.0,American IPA
5.0,20.0,English Brown Ale
5.3,35.0,American Stout
5.0,35.0,American Pale Ale (APA)
5.2,33.0,American Pilsner
4.0,20.0,American Pilsner
5.3,36.0,American Pale Ale (APA)
8.2,103.0,American Double / Imperial IPA
5.3,40.0,American Pale Ale (APA)
5.3,18.0,Altbier
6.2,43.0,American IPA
5.7,13.0,Oatmeal Stout
5.6,4.0,Cream Ale
7.0,80.0,American IPA
5.8,15.0,American Amber / Red Ale
5.7,13.0,Oatmeal Stout
5.5,25.0,Vienna Lager
5.8,15.0,American Amber / Red Ale
5.6,4.0,Cream Ale
5.7,13.0,Oatmeal Stout
6.9,6.0,Winter Warmer
7.0,80.0,American IPA
5.8,15.0,American Amber / Red Ale
5.6,4.0,Cream Ale
5.5,28.0,American Pale Ale (APA)
7.1,75.0,American IPA
4.7,19.0,American Blonde Ale
6.0,23.0,American Porter
6.0,55.0,American Pale Ale (APA)
6.2,17.0,American Pale Wheat Ale
9.2,50.0,American Double / Imperial Stout
5.1,20.0,Saison / Farmhouse Ale
5.2,10.0,Gose
7.0,45.0,American IPA
3.2,27.0,Kölsch
5.3,26.0,American Porter
6.0,69.0,American IPA
5.6,27.0,American Blonde Ale
7.0,67.0,American IPA
5.7,40.0,American Stout
8.2,138.0,American Double / Imperial IPA
6.2,35.0,American Porter
6.0,35.0,American Amber / Red Ale
7.5,115.0,American Double / Imperial IPA
5.5,12.0,American Porter
4.5,8.0,American Blonde Ale
5.0,62.0,American IPA
5.0,12.0,Munich Helles Lager
4.7,42.0,German Pilsener
5.6,10.0,Witbier
6.3,69.0,American IPA
5.5,17.0,American Brown Ale
6.2,17.0,Pumpkin Ale
7.2,22.0,Märzen / Oktoberfest
4.8,23.0,American Pale Wheat Ale
9.2,5.0,Tripel
6.1,41.0,American Amber / Red Ale
6.0,43.0,American Pale Ale (APA)
6.8,70.0,American IPA
4.4,38.0,American Pale Ale (APA)
3.8,40.0,American IPA
5.2,23.0,Kölsch
7.0,75.0,American IPA
7.0,70.0,American IPA
4.5,20.0,Rye Beer
3.5,45.0,American Amber / Red Ale
7.0,46.0,American IPA
6.0,60.0,American IPA
4.9,22.0,American Pilsner
6.7,60.0,American IPA
6.8,62.0,American Pale Lager
5.0,20.0,Witbier
5.1,45.0,Euro Dark Lager
5.4,55.0,American Amber / Red Lager
6.7,70.0,American IPA
5.0,28.0,Schwarzbier
5.4,48.0,German Pilsener
5.5,35.0,American Amber / Red Ale
4.9,28.0,American Pale Ale (APA)
6.9,69.0,American IPA
8.8,108.0,American Double / Imperial IPA
5.0,10.0,Fruit / Vegetable Beer
5.8,45.0,American Pale Ale (APA)
6.8,85.0,American IPA
4.4,44.0,English India Pale Ale (IPA)
5.7,27.0,American Blonde Ale
7.2,87.0,American IPA
5.6,32.0,Extra Special / Strong Bitter (ESB)
6.2,68.0,American IPA
6.0,34.0,American Black Ale
5.0,38.0,German Pilsener
5.5,40.0,English India Pale Ale (IPA)
5.3,20.0,American Pale Ale (APA)
8.1,17.0,American Strong Ale
9.5,104.0,American Double / Imperial IPA
6.7,85.0,American Amber / Red Ale
8.0,54.0,American Stout
7.5,60.0,American IPA
5.0,32.0,Czech Pilsener
6.0,55.0,American IPA
6.2,65.0,American IPA
5.0,40.0,English Pale Ale
5.0,35.0,American Pale Wheat Ale
5.1,26.0,American Brown Ale
7.2,60.0,English IPA
5.1,26.0,American Brown Ale
5.0,35.0,American Pale Wheat Ale
6.2,65.0,American IPA
5.0,40.0,English Pale Ale
5.0,35.0,American Pale Wheat Ale
5.1,26.0,American Brown Ale
6.9,81.0,American IPA
5.8,38.0,American Amber / Red Ale
5.3,43.0,American Pale Ale (APA)
9.9,85.0,Rye Beer
9.8,76.0,American Double / Imperial IPA
5.5,35.0,Oatmeal Stout
6.6,50.0,American IPA
5.5,45.0,American Pale Ale (APA)
7.2,75.0,Rye Beer
4.5,16.0,American Blonde Ale
7.5,35.0,American IPA
5.0,8.0,Hefeweizen
5.8,44.0,American Pale Ale (APA)
7.1,83.0,American Strong Ale
7.1,45.0,American Porter
7.8,34.0,Saison / Farmhouse Ale
6.6,44.0,American Amber / Red Ale
4.8,16.0,American Brown Ale
4.6,20.0,American Amber / Red Ale
4.8,47.0,American IPA
6.0,30.0,Foreign / Export Stout
7.0,51.0,American IPA
5.6,37.0,Extra Special / Strong Bitter (ESB)
5.6,37.0,Extra Special / Strong Bitter (ESB)
5.6,37.0,Extra Special / Strong Bitter (ESB)
4.6,35.0,American Pale Ale (APA)
8.0,80.0,American Double / Imperial IPA
5.9,60.0,American Pale Ale (APA)
6.5,30.0,Extra Special / Strong Bitter (ESB)
5.9,60.0,American Pale Ale (APA)
4.9,16.0,Kölsch
6.0,40.0,American White IPA
4.4,16.0,American Blonde Ale
5.5,28.0,Vienna Lager
4.2,30.0,American IPA
4.0,34.0,Irish Dry Stout
4.5,27.0,Munich Helles Lager
6.6,72.0,American IPA
7.5,22.0,Scotch Ale / Wee Heavy
4.8,30.0,Czech Pilsener
5.6,26.0,Märzen / Oktoberfest
7.0,94.0,English India Pale Ale (IPA)
4.8,38.0,Extra Special / Strong Bitter (ESB)
5.3,45.0,American Pale Ale (APA)
6.6,72.0,American IPA
7.1,16.0,American Porter
6.5,45.0,American IPA
4.9,30.0,Vienna Lager
4.9,30.0,Vienna Lager
5.3,15.0,Märzen / Oktoberfest
5.3,7.0,American Pale Wheat Ale
4.9,30.0,Vienna Lager
4.9,35.0,American Pale Ale (APA)
5.7,35.0,American Pale Ale (APA)
4.9,35.0,American Pale Ale (APA)
6.2,80.0,American IPA
6.0,52.0,American Porter
5.7,52.0,American Porter
7.0,80.0,American IPA
6.0,25.0,Hefeweizen
5.2,40.0,American Amber / Red Ale
4.2,9.0,American Pale Wheat Ale
4.5,15.0,American Pale Wheat Ale
6.2,68.0,American IPA
5.4,19.0,American Amber / Red Ale
7.2,60.0,American IPA
5.0,21.0,Irish Red Ale
5.5,28.0,American Pale Wheat Ale
5.0,15.0,American Amber / Red Ale
5.2,17.0,American Pale Ale (APA)
6.1,64.0,American IPA
6.8,47.0,English India Pale Ale (IPA)
6.8,47.0,English India Pale Ale (IPA)
7.3,85.0,American Black Ale
6.2,42.0,American Amber / Red Ale
5.8,35.0,Herbed / Spiced Beer
5.2,40.0,Schwarzbier
6.0,40.0,American Blonde Ale
6.0,20.0,Witbier
9.0,118.0,American Double / Imperial IPA
5.5,40.0,American Pale Ale (APA)
9.9,115.0,American Double / Imperial IPA
6.8,16.0,American Pale Wheat Ale
7.2,86.0,American IPA
5.5,40.0,American Pale Ale (APA)
5.0,14.0,American Pale Lager
5.6,36.0,American Pale Ale (APA)
5.3,25.0,American Blonde Ale
6.3,35.0,American Amber / Red Ale
6.8,100.0,American IPA
6.3,35.0,American Amber / Red Ale
5.3,25.0,American Blonde Ale
6.8,100.0,American IPA
5.6,55.0,American Pale Ale (APA)
3.9,16.0,American Adjunct Lager
5.4,24.0,American Amber / Red Ale
6.1,94.0,American IPA
6.1,94.0,American IPA
5.6,55.0,American Pale Ale (APA)
5.6,55.0,American Pale Ale (APA)
5.6,55.0,American Pale Ale (APA)
5.6,55.0,American Pale Ale (APA)
5.6,55.0,American Pale Ale (APA)
5.4,24.0,American Amber / Red Ale
6.1,94.0,American IPA
9.9,43.0,Pumpkin Ale
9.0,130.0,American Double / Imperial IPA
5.5,64.0,American IPA
5.4,35.0,German Pilsener
5.5,30.0,American Amber / Red Ale
5.5,35.0,American Amber / Red Ale
4.9,10.0,American Blonde Ale
6.5,80.0,American Black Ale
5.2,28.0,Vienna Lager
4.6,18.0,Munich Helles Lager
5.6,55.0,American IPA
4.6,18.0,Munich Helles Lager
6.2,70.0,American IPA
5.9,22.0,Winter Warmer
9.9,100.0,American Black Ale
3.9,9.0,Berliner Weissbier
7.8,80.0,American Double / Imperial IPA
4.2,35.0,American IPA
4.8,16.0,Witbier
7.8,16.0,Scottish Ale
8.5,90.0,American Double / Imperial IPA
6.8,70.0,American IPA
5.1,36.0,American Pale Ale (APA)
5.0,18.0,Cream Ale
5.0,40.0,Altbier
4.5,24.0,American Amber / Red Lager
5.0,40.0,Altbier
5.2,42.0,American Pale Ale (APA)
5.1,15.0,Herbed / Spiced Beer
7.2,85.0,American IPA
9.5,99.0,American Double / Imperial IPA
7.5,77.0,American Black Ale
6.0,45.0,American Stout
5.0,22.0,Kölsch
7.0,65.0,American IPA
6.5,8.0,Fruit / Vegetable Beer
5.5,30.0,American Pale Ale (APA)
8.0,69.0,American Strong Ale
5.5,40.0,Märzen / Oktoberfest
5.7,58.0,American IPA
5.7,10.0,Fruit / Vegetable Beer
8.9,126.0,American Double / Imperial IPA
4.9,29.0,American Pilsner
5.5,25.0,Bock
6.2,65.0,American IPA
8.2,65.0,American Black Ale
7.0,60.0,American IPA
7.0,60.0,American IPA
7.0,60.0,American IPA
7.0,60.0,American IPA
7.0,60.0,American IPA
7.5,70.0,American IPA
7.5,70.0,American IPA
8.0,65.0,American Porter
5.5,25.0,English Brown Ale
5.5,25.0,American Brown Ale
7.2,75.0,American Amber / Red Ale
7.5,70.0,American IPA
5.0,18.0,Witbier
6.7,60.0,American IPA
6.0,75.0,American Black Ale
4.4,13.0,American Pale Wheat Ale
4.7,17.0,American Blonde Ale
6.2,55.0,American Brown Ale
4.6,11.0,Kölsch
6.5,75.0,American IPA
5.2,24.0,American Amber / Red Ale
5.2,24.0,American Amber / Red Ale
6.8,75.0,American IPA
4.8,22.0,German Pilsener
5.6,21.0,American Blonde Ale
7.5,29.0,Oatmeal Stout
7.7,71.0,American Black Ale
6.0,46.0,American Pale Ale (APA)
7.5,25.0,Tripel
5.2,15.0,Witbier
5.2,25.0,American Amber / Red Ale
6.5,65.0,American IPA
4.9,25.0,American Blonde Ale
6.0,31.0,American Amber / Red Ale
5.2,23.0,Kölsch
5.0,15.0,American Blonde Ale
5.3,11.0,Hefeweizen
9.2,115.0,American Double / Imperial IPA
6.5,80.0,American IPA
6.3,37.0,American Amber / Red Ale
7.5,33.0,American Brown Ale
8.5,100.0,American Double / Imperial IPA
4.8,25.0,Saison / Farmhouse Ale
5.2,23.0,American Blonde Ale
7.0,70.0,American IPA
4.5,44.0,American IPA
5.0,16.0,English Pale Ale
5.9,55.0,Irish Dry Stout
5.6,46.0,American Blonde Ale
6.5,71.0,American IPA
5.8,46.0,Irish Red Ale
5.0,40.0,American Pale Ale (APA)
5.2,16.0,Hefeweizen
4.9,22.0,Belgian Pale Ale
6.3,76.0,American IPA
5.0,12.0,Gose
9.6,85.0,American Double / Imperial IPA
4.9,22.0,Belgian Pale Ale
4.4,45.0,American Pale Ale (APA)
5.2,26.0,American Pale Ale (APA)
5.4,27.0,American Amber / Red Ale
7.1,85.0,American IPA
7.4,12.0,Scotch Ale / Wee Heavy
6.5,72.0,American IPA
6.6,100.0,American IPA
5.1,17.0,Fruit / Vegetable Beer
4.3,12.0,Hefeweizen
5.8,49.0,American Amber / Red Ale
6.1,64.0,American IPA
4.5,18.0,American Pale Wheat Ale
7.8,74.0,American IPA
7.8,74.0,American IPA
4.9,25.0,American Amber / Red Lager
4.3,60.0,American IPA
6.2,80.0,American IPA
4.9,23.0,American Blonde Ale
7.0,61.0,Belgian IPA
5.4,48.0,Czech Pilsener
5.0,32.0,American Pale Ale (APA)
4.5,19.0,Scottish Ale
6.7,70.0,American IPA
6.3,55.0,American Pale Ale (APA)
7.0,80.0,American IPA
7.0,58.0,American Stout
5.0,20.0,Belgian Pale Ale
5.0,20.0,Rye Beer
5.0,20.0,Kölsch
7.0,70.0,American IPA
7.5,53.0,American Amber / Red Ale
7.5,53.0,American Amber / Red Ale
8.2,80.0,American Double / Imperial IPA
5.5,30.0,American Porter
5.5,45.0,Czech Pilsener
4.8,20.0,Kölsch
8.0,80.0,American Black Ale
5.0,22.0,American Pale Wheat Ale
8.0,72.0,American Amber / Red Ale
4.5,47.0,American IPA
7.5,75.0,American IPA
4.7,20.0,American Blonde Ale
5.0,27.0,American Blonde Ale
6.0,104.0,American IPA
7.1,60.0,American IPA
4.7,28.0,American Pale Lager
7.0,70.0,American IPA
5.0,18.0,Witbier
6.9,65.0,American IPA
7.4,97.0,American IPA
4.7,19.0,American Pale Wheat Ale
5.6,16.0,American Amber / Red Ale
4.6,17.0,Kölsch
6.3,42.0,American IPA
8.5,50.0,Scotch Ale / Wee Heavy
7.2,65.0,American IPA
4.7,42.0,American IPA
7.6,73.0,American IPA
5.7,40.0,American Porter
5.2,20.0,American Blonde Ale
6.4,90.0,American IPA
5.2,17.0,Kölsch
4.2,9.0,Fruit / Vegetable Beer
6.7,47.0,American IPA
6.0,21.0,Scottish Ale
5.0,28.0,American Pale Wheat Ale
5.7,36.0,American Pale Ale (APA)
7.0,70.0,American White IPA
6.9,69.0,American IPA
5.5,18.0,Munich Helles Lager
6.5,33.0,American Brown Ale
4.2,20.0,Munich Helles Lager
4.2,10.0,Witbier
5.9,70.0,American IPA
4.4,5.0,Berliner Weissbier
6.5,35.0,Saison / Farmhouse Ale
6.5,45.0,American Pale Ale (APA)
5.6,30.0,American Pale Ale (APA)
6.5,80.0,American IPA
5.3,32.0,Kölsch
7.0,24.0,Scotch Ale / Wee Heavy
5.2,42.0,Extra Special / Strong Bitter (ESB)
7.0,73.0,American IPA
7.2,50.0,American IPA
4.9,15.0,American Blonde Ale
5.0,26.0,American Amber / Red Ale
6.7,70.0,American IPA
7.2,75.0,American Pale Lager
5.8,35.0,Saison / Farmhouse Ale
7.4,74.0,American IPA
8.0,70.0,American IPA
9.4,92.0,American IPA
5.9,60.0,American IPA
4.6,15.0,Hefeweizen
6.8,65.0,American IPA
5.9,60.0,American IPA
5.5,20.0,American Brown Ale
8.0,70.0,American IPA
8.0,70.0,American IPA
5.9,60.0,American IPA
4.6,15.0,Hefeweizen
7.0,11.0,American Porter
7.0,70.0,American IPA
6.0,18.0,American Pale Wheat Ale
5.6,36.0,American Pale Ale (APA)
9.3,103.0,American Double / Imperial IPA
6.0,54.0,Oatmeal Stout
6.0,64.0,American IPA
5.8,36.0,American Brown Ale
5.5,40.0,American Pale Ale (APA)
5.9,55.0,American IPA
5.4,30.0,American Pale Ale (APA)
5.4,30.0,American Pale Ale (APA)
4.2,18.0,American Pale Wheat Ale
4.2,18.0,American Pale Wheat Ale
4.2,20.0,American Pale Wheat Ale
5.2,19.0,American Pale Lager
4.3,21.0,American Pale Wheat Ale
4.9,21.0,English Brown Ale
5.5,35.0,American Pale Ale (APA)
5.3,22.0,American Blonde Ale
5.7,18.0,Fruit / Vegetable Beer
5.6,33.0,American Porter
6.2,60.0,American IPA
5.7,27.0,Dortmunder / Export Lager
5.3,22.0,American Blonde Ale
5.6,33.0,American Porter
5.7,25.0,Märzen / Oktoberfest
4.5,36.0,American Brown Ale
5.7,18.0,Fruit / Vegetable Beer
5.7,27.0,Dortmunder / Export Lager
6.0,25.0,American Dark Wheat Ale
5.1,13.0,Witbier
7.5,65.0,American Stout
5.6,33.0,American Porter
5.7,23.0,Euro Dark Lager
4.2,26.0,English Brown Ale
6.2,60.0,American IPA
5.3,22.0,American Blonde Ale
9.5,75.0,Russian Imperial Stout
4.5,15.0,American Pale Lager
4.5,15.0,American Pale Lager
5.2,49.0,American Pale Ale (APA)
5.0,5.0,Fruit / Vegetable Beer
7.0,22.0,American Brown Ale
